unit,time,operational_setting_1,operational_setting_2,operational_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,RUL
18.0,21.0,0.505404526129251,0.342037302316087,0.26105144744845854,35.520583142665444,40.15441642726736,71.09804248509425,70.23426913237391,91.0498284856621,29.985883518639554,95.57228955010132,57.12278654759999,64.15757340899054,75.82375649287373,60.74452649806062,14.645190472636905,24.563578144003394,92.48807144308549,79.8654292758032
48.0,2.0,0.11310392761596977,0.06296176139461884,0.7686937986749344,92.32445983927579,51.905994342821316,97.83858298022724,93.90461890778829,27.23262643340908,56.2636679355781,21.624342783494033,19.412077449500377,18.248158042624453,38.36314457582417,27.40863881534622,22.455255812116203,21.69271927541001,88.66211106196886,104.73310460338503
13.0,95.0,0.3064863990302965,0.5807402434445829,0.3845752077174259,23.99820384086545,79.86869829010341,69.26285262770581,10.745034468434412,93.22214795373378,6.153851072703132,97.99342259747841,76.80855315871726,4.481283368670896,81.61685425791521,94.7852153139027,74.80612323369965,76.18036420994866,70.1835771465188,7.766478541074004
1.0,26.0,0.30107221633540937,0.07273135680202536,0.8919362647141851,17.298082268853932,69.40218311646613,37.94214455802377,80.08111033360386,92.12632286544284,48.73248426127807,47.378133039049395,46.64829724546696,90.64102493608515,40.53858864749168,8.10265323954904,23.259628730035896,10.469176237452727,95.6034475597119,78.83800427981667
9.0,81.0,0.335153210311926,0.275660385630614,0.3747384384201077,29.728485352760703,67.14705801965204,27.090516617221073,8.755191331011014,91.75281884484792,81.49831142044758,49.34955861697923,21.081824707305575,58.2852484672436,40.975470199913055,20.82818237205577,17.7695979179183,68.18103903209366,46.275769049879365,19.440866571425
74.0,41.0,0.901356546440746,0.43099332075805685,0.7799616689512938,55.03604440732729,62.33685939077319,51.32533184763927,11.57819258325975,88.54664896434883,64.03980749969456,68.19908144068033,30.819689731723265,38.29160025485153,52.40527925366767,65.70103581791726,85.24086284141197,98.91151976295336,80.03768015158828,64.40923141682049
15.0,39.0,0.8182178663490396,0.02290264491816052,0.5473224232049341,34.09319483695295,11.752197692923128,61.750833754636304,35.785086570462646,93.40433705239947,35.69028129419193,54.27425634663372,19.72241768340528,74.09152461739052,76.49677012578199,59.45463410100238,59.9247733290699,48.61576369752563,99.24883283368048,70.16510523719583
31.0,69.0,0.9634446187528364,0.23418111829123467,0.06674723787471704,20.3931410286604,60.45607507588382,16.0598020120693,63.246439503549546,45.670999384697595,70.12916578362189,85.4602535976923,94.83053818192218,19.847960555271005,55.35430552335179,69.33446872434679,84.27403398921034,74.06814981597363,20.93944016078988,32.94246001002949
92.0,55.0,0.1656522371740745,0.7573941466421474,0.6064722717249615,61.988970446026904,4.450260846089815,43.42535912797059,13.100313778409411,57.59144628083367,12.319758391612467,21.096337614711146,78.54929731404194,39.892312386970694,35.98790845122419,27.561983159301928,58.455803522689145,94.69760498488466,30.44102255947272,47.28095911283914
89.0,30.0,0.3659604700692187,0.9522477665498468,0.08305490820257755,38.71263077815882,14.419729361722178,46.08045101075462,36.154946254823436,13.956571162023524,7.693001479830086,79.02252492043331,26.00087983661118,22.156632838744105,42.74314345347694,96.00755795114388,59.828178300477575,55.70485795329604,4.90509004680958,76.81444536530462
